complaint,station,category,priorityLevel
Classroom: Half of the computers in Lab M312 do not work. Either they do not boot or the login fails. How are we supposed to complete practicals?,Classroom,Technical Issues,Low
Hostel: The canteen does not accept UPI.,Hostel,Mess/Food,Low
Classroom: Rugved Deolekar Sir unnecessarily bullying on a nomissue of an id card . Using poor language and rude tone which can in future lead to verbal argument and disturbance.,Classroom,Ragging,Medium
Hostel: College notices are never communicated properly. Important deadlines come and go without most students knowing. Use email or a proper notice board system.,Hostel,Other,Low
"Classroom: There is a test on Monday, so self-study is not possible on Sunday. We do not even get one day of rest. Please stop this and let students breathe.",Classroom,Academics,Low
Classroom: No wheelchair accessibility ramps in older buildings. Students with mobility issues cannot access certain floors. This is a serious inclusion failure.,Classroom,Infrastructure,Medium
Library: The washroom flush in boys block hasn't been working properly for weeks. It requires multiple attempts or doesn't flush at all. Very unhygienic situation.,Library,Infrastructure,Low
"The teacher publicly removed a student from class for no valid reason. It was humiliating, and the student was visibly upset. This is not acceptable.",Classroom,Ragging,Medium
The mess food is bad.,Hostel,Mess/Food,Medium
Pedestrian Area: cleanliness - everywhere.,Pedestrian,Cleanliness,Low
"Classroom: Declaration page for EVERY assignment is ridiculous. It's 2026, not 1990. Go paperless at least. Such a waste.",Classroom,Academics,Low
Library: The area outside is not safe.,Library,Infrastructure,Low
"Classroom: Sgpi/cgpi dependent on ISA, worthy people deprived of good sg or cg.",Classroom,Academics,Low
"Mess Food is not good, only 2-3 items are worth eating M-Block Canteen doesn't accept UPI.",Hostel,Mess/Food,Medium
"Hostel: Lack of nutrition in food, excess oil, poor quality of food.",Hostel,Mess/Food,Low
Classroom: Software required for our curriculum isn't installed on lab computers. We waste the first 30 minutes of every practical session installing tools.,Classroom,Technical Issues,Low
Library: The college portal interface is so old that it does not open properly on mobile. It is 2026; please make it mobile-responsive.,Library,Technical Issues,Low
Main Gate: Washroom tiles in boys block have not been scrubbed in a long time. Stains and deposits everywhere. Deep cleaning is overdue.,Main Gate,Cleanliness,Low
Classroom: Each Monday MSC test.,Classroom,Academics,Low
Classroom: sir ne personal comment kiya.,Classroom,Ragging,Medium
Classroom: Monday Exams.,Classroom,Academics,Low
"Classroom: During my MSE exams, a girl who regularly sits in front of me has long hair that often falls over my desk and covers my answer sheet. This repeatedly distracts me and makes it difficult to focus, as I am unable to see my paper clearly. Due to this ongoing issue, I have not been able to complete my exam properly or perform to the best of my abilityÃ°ÂÂÂ¢Ã°ÂÂÂ¢.",Classroom,Academics,Low
Hostel: Is this what we get for 60 rupees?,Hostel,Mess/Food,Low
"Classroom: My issue is with the complete lack of academic resources for the Robotics minor introduced by our department. Robotics is a field that fundamentally depends on both hardware and software, yet our Ã¢ÂÂcollegeÃ¢ÂÂ has reduced it to just theoretical or software-based learning, which defeats the entire purpose of the course. There are no basic resources provided not even something as simple as an Arduino board for hands-on practice. I havenÃ¢ÂÂt been shown a single working robot, nor has there been any proper demonstration of real robotics applications. How are students expected to understand robotics without ever interacting with actual hardware? Despite this, the department still expects 75% attendance. On what basis? Why should students attend classes that offer no practical value or real learning experience? If the college is not capable of providing even the most basic infrastructure required for robotics education, then offering this course is misleading and pointless. Institutions like IITs carefully design their labs and even involve experts or interns to decide what experiments students should perform. In contrast, our Ã¢ÂÂbeautiful collegeÃ¢ÂÂ is teaching only software like MATLAB in a so-called robotics lab. This is not robotics education this is a complete misrepresentation of the subject.",Classroom,Academics,Low
Hostel: M-block canteen doesn't accept UPI which is super inconvenient. We are college students most of us don't carry cash. Please update your payment system bhai.,Hostel,Mess/Food,Low
The seating capacity in the mess is way too small for the number of students. We end up eating standing or rushing back to class hungry.,Hostel,Mess/Food,Low
Professors having attitude to help students and they themselves lack education.,Classroom,Academics,Low
Main Gate: socket problem in labs.,Main Gate,Infrastructure,Low
Library: The Wi-Fi is not working.,Library,Technical Issues,Low
Classroom: There may be a virus on the PC; it is too slow.,Classroom,Technical Issues,Low
Hostel: The Misal pav bread remains stale. The Chawli vegetable has a bad smell. And papad is almost never available. Is this food worth 60 rupees? Absolutely not.,Hostel,Mess/Food,Low
"I am a 3rd year CE student and honestly the academic pressure here is unbearable. We have monday tests every week, ISA exams, practicals, and on top of that tons of assignments with declaration pages for each one. Where is the time to actually learn something? I want to build projects, prepare for interviews, learn new technologies but the college keeps us so busy with pointless tasks that there's no time left. The professors themselves admit that half the syllabus won't be used in real life. Then why are we being evaluated on it? Please reconsider the academic structure.",Classroom,Academics,Low
The professor is especially rude to girls.,Classroom,Ragging,Medium
Hostel: The washroom flush in boys block hasn't been working properly for weeks. It requires multiple attempts or doesn't flush at all. Very unhygienic situation.,Hostel,Infrastructure,Low
